,Reviews,Liked
57,"""There was no one staffing the pre-paid taxi counter where we had hoped to buy a taxi chit on a credit card and avoid the hassle of the taxi touts outside""",0
58,"""ATMs still wouldn't be working""",0
59,"""The architecture is from the times of British and still maintained well.""",1
60,"""facility was good""",1
61,"""WIFI readily available in most places""",1
62,"""loads of resorts""",1
63,"""It was a massive pool and full of broken bricks from the construction site next to it""",0
64,"""one ticket gets you into bot",.
65,"""",1
66,"""It was a large dining room like restaurant. We could not fathom as to what the Hi-Tech meant.""",1
67,question still lingered as to what is Hi-Tech about it. ,0
68,"""environment-friendly mode of transportation facility was highly appreciable""",1
69,"""Each passenger was provided with a dirty life jacket""",0
70,"""multi-religious population dwelling in a perfect harmony.""",1
71,"""chaotic little seating room""",0
72,"""I search out renting a bike but to no prevail""",0
73,"""town vomiting with hotels & chocolate shops""",1
74,"""lovely hotels""",1
75,"""facility was good""",1
76,"""used their free WiFi"" ",1
77,"""the attraction here is more the resort hotels""",1
78,"""Cardamon house which has attractive gardens and a swimming pool	",1
79,"""Some bloggers have mentioned that there is no food in Pichavaram.""",0
80,"""The room was well set up and the facilities clean and functional.""",1
81,"""There were issues with the hotel ( they insist it is not paid for) but they finally let us in.""",0
82,"""You could hire bicycles or ride a horse""",1
83,"""The carriages are air-conditioned  evaporative systems one of the germans later explained, and pretty sound-proof, so little clackety clack.""",1
84,"""The biggest problem was the jerking starts and stops. Lets not mention the washrooms.""",0
85,"""Obviously a lot of development has been happening in these areas.""",1
86,"""Nice enough hotel with a pool and reliable Wifi.""",1
87,"""We cheered when we arrived at our hotel which is near the lake and very nice"".",1
88,"""With all the chaos there is also incredible management. There are electronic signs nowadays at various intervals which tell you the trains number that is arriving as it comes and others that point out where your carriage will stop and it does!""",1
89,"""New clean linen arrived for us and the old ones taken away, its amazing how efficient it all is and how it works.""",1
90,"""did I tell you how mind boggling it is to actually find the train you need from all the choices you have  fast trains, express trains some stopping lots and some hardly at all.""",1
91,"""But it is such nice room with all the fruit we are happy.""",1
92,"""There are also A LOT of toilets and showers, some outdoor, some covered, all separated drop toilets and bucket showers""",1
93,"""It's very comfortable and we have about a metre between beds, so it doesn't feel at all cramped.""",1
94,"""but at least they had a hot shower in the evening (and only in the evening) and WIFI.""",1
95,"""Got good seats in an air conditioned carriage with a table so most of us proceeded to play UNO followed by cards and then 'who am I?''",1
96,"""If only the buses had signs in Tamil and English it would make my life so much easier!""",0
97,"""We only have 5 beds for 6 of us and water is scarce with regular power cuts.""",0
98,"""access to the internet has been dodgy!""",0
99,"""but we'll probably have a powercut soon""",0
100,"""there was no air-con in the rooms.""",0
101,"""While there we swapped stories of the work we have been doing and shared our frustrations of """"Indian Time"""", how things never go to plan and how little time we actually have left.""",0
102,"""Wifi has been down since we arrived and internet is very spotty, (as is electricity as it was last night when we had to sleep in a hot room without a fan)""",0
103,"""Sadly all the resorts he had contacted were either full or non-existent.""",0
104,"""Where we sleep now is my idea of a the perfect room: it's uncomplicated, the widow frames, doors and all furniture are handmade solid wood, the floor is covered in spanish style tiles, and the space is small - just enough.""",1
105,"""since my mobile will not work in Auroville,""",0
106,"""Add the air-conditioning and the comfortable cushions that you are given to sit, I was more intent on not falling asleep after the hot sun outside.""",1
107,"""The streets are not lighted""",0
108,"""Being in 1stclass you'd expect top quality comfort etc, you do get a bed sheet and blanket, but the blanket is made from that fucking horrible itchy material! And the A/C is actually way too cold, and as such I end up catching the flu!""",0
109,"""and with the combination of my flip-flops, haste and heavy bag I manage to spectacularly fall over, one bag goes flying, I do a few rolls...There wasn't any wet floor signs, this is India, you're meant to have common sense""",0
110,"""We waited in vain as it never came. This was our second time in India that we had experienced this let down.""",0
111,"""I was disappointed to note that none of the restaurants within a stones throw were offering a Christmas dinner,""",0
112,"""there are enough busses to cope with demand so we are not crammed in""",1
113,"""Still lots of power cuts though.""",0
114,"""We even got to rest in an A/C room before the train arrived""",1
115,"""Cockroaches coming out of the cracks in the wall?""",0
116,"""There were two whole buses of foreigners going, all from various organized tours.""",1
117,"""Rooms were big and had balcony.""",1
118,"""We took one which is offered as free by some of the volunteers there""",1
119,"""Sunvalley management has also kept a local guide book in each rooms for help of visitors.""",1
120,"""barsthere arent any in Tamil Nadu,""",0
121,"""owner was stressing that his cottages had Geysers & Heaters,""",1
122,"""We never officially met the owner, and the staff was rarely anywhere to be found""",0
123,"""We had some difficulty figuring out which bus to take""",0
124,"""We left early the next morning for the Chennai airport via the taxi we'd booked through the hotel.""",1
125,"""in a guesthouse with cold water only, electricity only a few hours a day""",0
126,"""I was glad that the temple committee do not have such stringent rules and regulations on foreigners.""",1
127,"""I made all the arrangements from booking the cab, Lodge, Dance & dinner""",1
128,"""I then found out nowhere had wifi.""",0
129,"""The hotel was pretty horrible and the room wasnt ready""",0
130,"""My new room was actually worse than the last one,""",0
131,"""the pictures and the price we paid didnt really live up to what we were expecting of our hotel and so we ended up in a pretty depressing room""",0
132,"""the place looking like some form of prison carriage used to ferry convicts about the country""",0
133,"""Its a decent hotel near town bus station and you will get a good AC double room""",1
134,"""The information is not displayed anywhere except at the ticket counter""",0
135,"""we are blissed to have such a room where we can come together in the middle but have beds that are so far apart that its like we have a private space.""",1
136,"""it was a resort type complex but our very spacious rooms with the best beds so far""",1
137,"""Indian Panorama is the company and we can't praise them highly enough for organising such a fantastic holiday.""",1
138,"""Thanks to PLA Residency, Thanjaore and Rayas Annexe , Kumbakonam for the Excellent stay and a Neat Food.The Service was Good and to the requirement.""",1
139,"""ultra-modern, large restaurant with an excellent buffet featuring a wide variety of Indian foods""",1
140,"""I was not best pleased and had a right moan at the bloke in charge.""",0
141,"""AtCoonoorwe got on a small train to climb to Ooty.""",1
142,"""it only took one look and we almost ran out of the hostel. Next one: full, next one: full, next one: full...""",0
143,"""we could not get any money from the ATM""",0
144,"""when we wanted to pay by card, they wanted to charge an extra 2%.""",0
145,"""The only downside to the place was the constent power cuts""",0
146,"""wherever you travel, you have buses in quick intervals.""",1
147,"""This vehicle was overflowing with local crowds.""",0
148,"""I was a bit surprised, that such a huge city has no outdoor shops.""",0
149,"""In Kodaikanal there was very often power breakdown.""",0
150,"""This train seems to be just for tourists""",1
151,"""Shops, cafes (with real coffee!),""",1
152,"""Coimbatore Railway Station has a variety of lodges and accommodation for nearly every type of traveler.""",1
153,"""I have decided to dedicate a few good words to the place.""",1
154,"""We waited embarrassingly for much more than an hour for the food to arrive and when it did, it was cold pizza!""",0
155,"""The room was ok ok not so good in terms of housekeeping or maintenance""",0
156,"""In the toilets we peered into the cubicles and recoiled in horror.""",0
157,"""We three (my wife, son and myself) checked in Hotel Vivek where we had booked a room thru net.""",1
